Difficulty points,Length,Average gradient,Steepest 100 metres,Total ascent,Country,Region,name,url
1352.0,20.8 km,7.7%,13.3%,1594 m,France,Vaucluse,Mont Ventoux,https://climbfinder.com/en/climbs/mont-ventoux-bedoin
975.0,14 km,8%,11.3%,1122 m,France,Bourg d'Oisans,Alpe d'Huez,https://climbfinder.com/en/climbs/alpe-d-huez
1465.0,24.9 km,7.4%,10.3%,1846 m,Italy,Bolzano,Passo dello Stelvio,https://climbfinder.com/en/climbs/passe-dello-stelvio
1556.0,34.8 km,6%,10.6%,2085 m,France,Bourg d'Oisans,Col du Galibier,https://climbfinder.com/en/climbs/col-du-galibier
1313.0,21 km,7.5%,13.4%,1577 m,France,Vaucluse,Mont Ventoux from Malaucène,https://climbfinder.com/en/climbs/mont-ventoux-malaucene
739.0,24.4 km,4.9%,11.8%,1206 m,France,Vaucluse,Mont Ventoux from Sault,https://climbfinder.com/en/climbs/mont-ventoux-sault
1223.0,21.1 km,7.4%,12.6%,1555 m,Italy,Sondrio,Passo dello Stelvio from Bormio,https://climbfinder.com/en/climbs/passo-dello-stelvio-bormio
82.0,1.1 km,7.9%,13.9%,85 m,Netherlands,South Limburg,Eyserbosweg,https://climbfinder.com/en/climbs/eyserbosweg
85.0,1.4 km,6.1%,16%,84 m,Netherlands,South Limburg,Keutenberg,https://climbfinder.com/en/climbs/keutenberg
674.0,7 km,8.8%,22.9%,614 m,France,Haute-Saône,Super Planche des Belles Filles,https://climbfinder.com/en/climbs/planche-des-belles-filles
114.0,4.4 km,4.2%,8.3%,185 m,Netherlands,South Limburg,Camerig,https://climbfinder.com/en/climbs/camerig
129.0,1.1 km,8%,13%,91 m,Belgium,Denderland,Muur van Geraardsbergen,https://climbfinder.com/en/climbs/muur-van-geraardsbergen
177.0,2 km,8.8%,16.3%,180 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Côte de la Redoute,https://climbfinder.com/en/climbs/redoute
1146.0,29 km,5.2%,11.9%,1519 m,France,Bourg d'Oisans,Col de la Croix-de-Fer from Barrage du Verney / Allemont,https://climbfinder.com/en/climbs/col-de-la-croix-de-fer-barrage-du-verney
247.0,2.3 km,9.9%,19.1%,227 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Stockeu,https://climbfinder.com/en/climbs/stockeu
806.0,12.6 km,7.5%,13.1%,950 m,France,Upper Rhine,Col du Grand Ballon from Moosch,https://climbfinder.com/en/climbs/grand-ballon
341.0,4.1 km,7.8%,15.5%,316 m,Belgium,Heart of the Ardennes,Col de Haussire,https://climbfinder.com/en/climbs/haussire
53.0,1.2 km,5.5%,11.7%,66 m,Netherlands,South Limburg,Cauberg,https://climbfinder.com/en/climbs/cauberg
1185.0,23.3 km,6.8%,11.7%,1587 m,France,Serre Ponçon,Cime de la Bonette,https://climbfinder.com/en/climbs/col-de-la-bonette-jausiers
1777.0,21.2 km,8.3%,12.4%,1754 m,Alps,Salzburg,Grossglockner Pass / Edelweissspitze,https://climbfinder.com/en/climbs/grossglockner-hochalpenstrasse-edelweissspitze
154.0,1.4 km,9.7%,16.4%,136 m,Belgium,Pays de Liège,Mur de Huy,https://climbfinder.com/en/climbs/mur-de-huy
150.0,0.6 km,11.4%,18.5%,65 m,Belgium,Flemish Ardennes,Koppenberg,https://climbfinder.com/en/climbs/koppenberg
981.0,16.9 km,7.2%,12.7%,1219 m,France,Annecy,Semnoz,https://climbfinder.com/en/climbs/semnoz-annecy
1055.0,16.9 km,7.5%,12%,1266 m,France,Hautes-Pyrénées,Col du Tourmalet,https://climbfinder.com/en/climbs/col-du-tourmalet
84.0,1 km,7.6%,14.4%,80 m,Netherlands,South Limburg,Doodeman,https://climbfinder.com/en/climbs/doodeman
661.0,9.1 km,7.5%,12.8%,682 m,France,Annecy,Col de la Forclaz de Montmin,https://climbfinder.com/en/climbs/col-de-la-forclaz-de-montmin-vesonne
996.0,11.3 km,9.2%,12.8%,1037 m,France,Briançon,Col du Granon,https://climbfinder.com/en/climbs/col-du-granon
68.0,0.5 km,11%,15.8%,57 m,Netherlands,South Limburg,Gulperberg from Partij,https://climbfinder.com/en/climbs/gulperberg-partij
1326.0,19.6 km,7.6%,17.1%,1486 m,Italy,Brescia,Passo di Gavia from Ponte di Legno,https://climbfinder.com/en/climbs/passo-di-gavia
584.0,27.3 km,3.7%,11.7%,1021 m,France,Bourg d'Oisans,La Bérarde,https://climbfinder.com/en/climbs/la-berarde
1577.0,12.2 km,10.8%,17.7%,1326 m,Italy,Sondrio,Mortirolo,https://climbfinder.com/en/climbs/mortirolo
221.0,2.6 km,8.3%,16.6%,212 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Thier de Coo,https://climbfinder.com/en/climbs/thier-de-coo
103.0,0.4 km,12.5%,17.5%,45 m,Belgium,Flemish Ardennes,Paterberg,https://climbfinder.com/en/climbs/paterberg
59.0,0.7 km,8.3%,13.8%,58 m,Netherlands,South Limburg,Kruisberg,https://climbfinder.com/en/climbs/kruisberg
53.0,1.2 km,6.4%,9.4%,79 m,Belgium,Voer-Region,Kasteelstraat from Sinnich,https://climbfinder.com/en/climbs/kasteelstraat
83.0,2 km,4.3%,9.2%,88 m,Belgium,Flemish Ardennes,Oude Kwaremont,https://climbfinder.com/en/climbs/oude-kwaremont
160.0,4.4 km,5.8%,9.6%,257 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Col du Rosier,https://climbfinder.com/en/climbs/rosier-est
982.0,24.9 km,5.6%,11.2%,1405 m,Italy,Sondrio,Passo di Gavia from Bormio,https://climbfinder.com/en/climbs/passo-di-gavia-bormio
471.0,10.5 km,6.1%,10.9%,647 m,France,Bourg d'Oisans,Col d'Ornon,https://climbfinder.com/en/climbs/col-d-ornon
78.0,3.4 km,4.2%,8.4%,140 m,Netherlands,South Limburg,Vaalserberg / Drielandenpunt via Vaals,https://climbfinder.com/en/climbs/vaalserberg
1185.0,14.6 km,8.8%,15.6%,1283 m,France,Bourg d'Oisans,Col du Sabot,https://climbfinder.com/en/climbs/col-du-sabot
437.0,8.7 km,6.9%,9.8%,604 m,Italy,Sondrio,Torri di Fraele from Turripiano,https://climbfinder.com/en/climbs/torri-di-fraele
817.0,21.7 km,5.3%,9.1%,1147 m,France,Upper Rhine,Col du Grand Ballon,https://climbfinder.com/en/climbs/grand-ballon-cernay
82.0,0.5 km,9.2%,14.9%,50 m,Belgium,Druivenstreek,Moskesstraat,https://climbfinder.com/en/climbs/moskesstraat-terlanen
1175.0,20.9 km,7%,11.4%,1474 m,France,Bourg d'Oisans,Col du Glandon,https://climbfinder.com/en/climbs/col-du-glandon-la-chambre
821.0,13.8 km,7.5%,11.9%,1031 m,France,La Maurienne,Col du Chaussy,https://climbfinder.com/en/climbs/col-du-chaussy
887.0,14.2 km,7.3%,14.7%,1040 m,France,Briançon,Col d'Izoard,https://climbfinder.com/en/climbs/col-d-izoard
216.0,4.4 km,5.4%,13.9%,240 m,Belgium,"Valleys of the Vesdre, de l'Amblève et de l'Ourthe",Roche aux Faucons,https://climbfinder.com/en/climbs/roche-aux-faucons
66.0,1 km,7.5%,11.3%,74 m,Netherlands,Rijk van Nijmegen,Oude Holleweg,https://climbfinder.com/en/climbs/oude-holleweg
1232.0,47.4 km,4.3%,8.6%,2050 m,France,Savoie,Col de l'Iséran,https://climbfinder.com/en/climbs/col-de-l-iseran-bourg-saint-maurice
1025.0,15 km,7.9%,14.4%,1182 m,France,Hautes-Pyrénées,Hautacam / Col de Tramassel,https://climbfinder.com/en/climbs/hautacam
165.0,1 km,12.1%,18.9%,125 m,Belgium,Haute Ardenne,Côte des Hézalles,https://climbfinder.com/en/climbs/hezalles
60.0,2.2 km,4.8%,6.9%,106 m,Belgium,Pays de Herve,Côte des Trois Frontières,https://climbfinder.com/en/climbs/cote-des-trois-frontieres
1091.0,17.7 km,7.1%,12.8%,1260 m,France,Ain,Col du Grand Colombier,https://climbfinder.com/en/climbs/col-du-grand-colombier-culoz
618.0,11.9 km,7.1%,9.9%,846 m,France,Bourg d'Oisans,Col du Télégraphe,https://climbfinder.com/en/climbs/col-du-telegraphe
1183.0,13.5 km,9.2%,12.8%,1246 m,France,Savoie,Mont du Chat,https://climbfinder.com/en/climbs/mont-du-chat
