race,position,climb_name,num_stages,num_editions,first_year
Tour de France,1,Col du Tourmalet,62,61,1910
Tour de France,2,Col du Galibier,39,37,1923
Tour de France,3,Col d'Aspin,36,36,1923
Tour de France,4,L'Alpe d'Huez,34,31,1952
Tour de France,5,Col de Peyresourde,33,33,1923
Tour de France,6,Col d'Aubisque,27,26,1923
Tour de France,7,Col de la Madeleine,26,26,1969
Tour de France,8,Côte de Châteaufort,23,23,1977
Tour de France,9,Col de Portet-d'Aspet,21,21,1923
Tour de France,10,Col de la Colombière,20,20,1978
Tour de France,11,Mont Ventoux,18,18,1951
Tour de France,12,Col d'Izoard,16,16,1923
Tour de France,13,Col de Menté,16,16,1979
Tour de France,14,Col du Télégraphe,15,15,1947
Tour de France,15,Cormet de Roselend,15,15,1979
Tour de France,16,Col de la Croix de Fer,15,14,1947
Tour de France,17,Col de Vars,15,15,1947
Tour de France,18,Col des Aravis,15,15,1923
Tour de France,19,Puy de Dôme,15,14,1952
Tour de France,20,Col de Marie-Blanque,15,14,1978
Tour de France,21,Côte de Saint-Rémy-Lès-Chevreuse,15,15,1986
Tour de France,22,Col des Saisies,14,14,1979
Tour de France,23,Ballon d'Alsace,14,14,1905
Tour de France,24,Col du Glandon,14,13,1977
Tour de France,25,Côte du Pavé des Gardes,14,14,1978
Tour de France,26,Avoriaz,14,9,1975
Tour de France,27,Col des Ares,13,13,1923
Tour de France,28,Col de Joux Plane,13,13,1978
Tour de France,29,Côte de 17 Tournants,12,12,1977
Tour de France,30,Col du Soulor,11,10,1979
Tour de France,31,Pla d'Adet,11,11,1974
Tour de France,32,Côte de la Madeleine,10,10,1977
Tour de France,33,Mûr-de-Bretagne,10,10,1977
Tour de France,34,Col de la Croix de Chaubouret,10,10,1977
Tour de France,35,Sestriere,10,7,1952
Tour de France,36,Col de Val Louron-Azet,10,10,1997
Tour de France,37,Col de Porte,9,9,1907
Tour de France,38,Côte de Châtillon,9,9,1978
Tour de France,39,Luz-Ardiden,9,9,1985
Tour de France,40,Col du Portillon,9,9,1979
Giro d'Italia,1,Roccaraso,21,16,1952
Giro d'Italia,2,Passo Pordoi,21,21,1940
Giro d'Italia,3,Passo dell'Aprica,18,15,1962
Giro d'Italia,4,Passo del Tonale,17,17,1954
Giro d'Italia,5,Passo del Mortirolo,16,16,1991
