race,year,winner,country,team,distance
Tour de France,1903,Maurice Garin,France,La Française,"2,428 km (1,509 mi)"
Tour de France,1904,Henri Cornet[a],France,Conte,"2,428 km (1,509 mi)"
Tour de France,1905,Louis Trousselier,France,Peugeot–Wolber,"2,994 km (1,860 mi)"
Tour de France,1906,René Pottier,France,Peugeot–Wolber,"4,637 km (2,881 mi)"
Tour de France,1907,Lucien Petit-Breton,France,Peugeot–Wolber,"4,488 km (2,789 mi)"
Tour de France,1908,Lucien Petit-Breton,France,Peugeot–Wolber,"4,497 km (2,794 mi)"
Tour de France,1909,François Faber,Luxembourg,Alcyon–Dunlop,"4,498 km (2,795 mi)"
Tour de France,1910,Octave Lapize,France,Alcyon–Dunlop,"4,734 km (2,942 mi)"
Tour de France,1911,Gustave Garrigou,France,Alcyon–Dunlop,"5,343 km (3,320 mi)"
Tour de France,1912,Odile Defraye,Belgium,Alcyon–Dunlop,"5,289 km (3,286 mi)"
Tour de France,1913,Philippe Thys,Belgium,Peugeot–Wolber,"5,287 km (3,285 mi)"
Tour de France,1914,Philippe Thys,Belgium,Peugeot–Wolber,"5,380 km (3,340 mi)"
Tour de France,1915,~Not contested due to World War I,—,—,—
Tour de France,1919,Firmin Lambot,Belgium,La Sportive,"5,560 km (3,450 mi)"
Tour de France,1920,Philippe Thys,Belgium,La Sportive,"5,503 km (3,419 mi)"
Tour de France,1921,Léon Scieur,Belgium,La Sportive,"5,485 km (3,408 mi)"
Tour de France,1922,Firmin Lambot,Belgium,Peugeot–Wolber,"5,375 km (3,340 mi)"
Tour de France,1923,Henri Pélissier,France,Automoto–Hutchinson,"5,386 km (3,347 mi)"
Tour de France,1924,Ottavio Bottecchia,Italy,Automoto,"5,425 km (3,371 mi)"
Tour de France,1925,Ottavio Bottecchia,Italy,Automoto–Hutchinson,"5,440 km (3,380 mi)"
Tour de France,1926,Lucien Buysse,Belgium,Automoto–Hutchinson,"5,745 km (3,570 mi)"
Tour de France,1927,Nicolas Frantz,Luxembourg,Alcyon–Dunlop,"5,398 km (3,354 mi)"
Tour de France,1928,Nicolas Frantz,Luxembourg,Alcyon–Dunlop,"5,476 km (3,403 mi)"
Tour de France,1929,Maurice De Waele,Belgium,Alcyon–Dunlop,"5,286 km (3,285 mi)"
Tour de France,1930,André Leducq,France,France,"4,822 km (2,996 mi)"
Tour de France,1931,Antonin Magne,France,France,"5,091 km (3,163 mi)"
Tour de France,1932,André Leducq,France,France,"4,479 km (2,783 mi)"
Tour de France,1933,Georges Speicher,France,France,"4,395 km (2,731 mi)"
Tour de France,1934,Antonin Magne,France,France,"4,470 km (2,780 mi)"
Tour de France,1935,Romain Maes,Belgium,Belgium,"4,338 km (2,696 mi)"
Tour de France,1936,Sylvère Maes,Belgium,Belgium,"4,442 km (2,760 mi)"
Tour de France,1937,Roger Lapébie,France,France,"4,415 km (2,743 mi)"
Tour de France,1938,Gino Bartali,Italy,Italy,"4,694 km (2,917 mi)"
Tour de France,1939,Sylvère Maes,Belgium,Belgium,"4,224 km (2,625 mi)"
Tour de France,1940,~Not contested due to World War II,—,—,—
Tour de France,1947,Jean Robic,France,France,"4,642 km (2,884 mi)"
Tour de France,1948,Gino Bartali,Italy,Italy,"4,922 km (3,058 mi)"
Tour de France,1949,Fausto Coppi,Italy,Italy,"4,808 km (2,988 mi)"
Tour de France,1950,Ferdinand Kübler,Switzerland,Switzerland,"4,773 km (2,966 mi)"
Tour de France,1951,Hugo Koblet,Switzerland,Switzerland,"4,690 km (2,910 mi)"
Tour de France,1952,Fausto Coppi,Italy,Italy,"4,898 km (3,043 mi)"
Tour de France,1953,Louison Bobet,France,France,"4,476 km (2,781 mi)"
Tour de France,1954,Louison Bobet,France,France,"4,656 km (2,893 mi)"
Tour de France,1955,Louison Bobet,France,France,"4,495 km (2,793 mi)"
Tour de France,1956,Roger Walkowiak,France,France,"4,498 km (2,795 mi)"
Tour de France,1957,Jacques Anquetil,France,France,"4,669 km (2,901 mi)"
Tour de France,1958,Charly Gaul,Luxembourg,Luxembourg,"4,319 km (2,684 mi)"
Tour de France,1959,Federico Bahamontes,Spain,Spain,"4,358 km (2,708 mi)"
Tour de France,1960,Gastone Nencini,Italy,Italy,"4,173 km (2,593 mi)"
Tour de France,1961,Jacques Anquetil,France,France,"4,397 km (2,732 mi)"
Tour de France,1962,Jacques Anquetil,France,Saint-Raphaël–Helyett–Hutchinson,"4,274 km (2,656 mi)"
Tour de France,1963,Jacques Anquetil,France,Saint-Raphaël–Gitane–R. Geminiani,"4,138 km (2,571 mi)"
Tour de France,1964,Jacques Anquetil,France,Saint-Raphaël–Gitane–Dunlop,"4,504 km (2,799 mi)"
Tour de France,1965,Felice Gimondi,Italy,Salvarani,"4,188 km (2,602 mi)"
Tour de France,1966,Lucien Aimar,France,Ford France–Hutchinson,"4,329 km (2,690 mi)"
Tour de France,1967,Roger Pingeon,France,Peugeot–BP–Michelin,"4,779 km (2,970 mi)"
Tour de France,1968,Jan Janssen,Netherlands,Pelforth–Sauvage–Lejeune,"4,492 km (2,791 mi)"
Tour de France,1969,Eddy Merckx‡,Belgium,Faema,"4,117 km (2,558 mi)"
Tour de France,1970,Eddy Merckx,Belgium,Faemino–Faema,"4,254 km (2,643 mi)"
Tour de France,1971,Eddy Merckx,Belgium,Molteni,"3,608 km (2,242 mi)"
Tour de France,1972,Eddy Merckx,Belgium,Molteni,"3,846 km (2,390 mi)"
Tour de France,1973,Luis Ocaña,Spain,Bic,"4,090 km (2,540 mi)"
Tour de France,1974,Eddy Merckx,Belgium,Molteni,"4,098 km (2,546 mi)"
Tour de France,1975,Bernard Thévenet,France,Peugeot–BP–Michelin,"4,000 km (2,500 mi)"
Tour de France,1976,Lucien Van Impe,Belgium,Gitane–Campagnolo,"4,017 km (2,496 mi)"
Tour de France,1977,Bernard Thévenet,France,Peugeot–Esso–Michelin,"4,096 km (2,545 mi)"
Tour de France,1978,Bernard Hinault,France,Renault–Gitane–Campagnolo,"3,908 km (2,428 mi)"
Tour de France,1979,Bernard Hinault,France,Renault–Gitane,"3,765 km (2,339 mi)"
Tour de France,1980,Joop Zoetemelk,Netherlands,TI–Raleigh–Creda,"3,842 km (2,387 mi)"
