race,year,stage,date,route,distance,stage_type,stage_winner
Tour de France,2020,1,29 August,Nice to Nice,156 km (97 mi),Flat stage,Alexander Kristoff (NOR)
Tour de France,2020,2,30 August,Nice to Nice,186 km (116 mi),Medium mountain stage,Julian Alaphilippe (FRA)
Tour de France,2020,3,31 August,Nice to Sisteron,198 km (123 mi),Flat stage,Caleb Ewan (AUS)
Tour de France,2020,4,1 September,Sisteron to Orcières-Merlette,160.5 km (99.7 mi),Hilly stage,Primož Roglič (SLO)
Tour de France,2020,5,2 September,Gap to Privas,183 km (114 mi),Flat stage,Wout van Aert (BEL)
Tour de France,2020,6,3 September,Le Teil to Mont Aigoual,191 km (119 mi),Hilly stage,Alexey Lutsenko (KAZ)
Tour de France,2020,7,4 September,Millau to Lavaur,168 km (104 mi),Flat stage,Wout van Aert (BEL)
Tour de France,2020,8,5 September,Cazères to Loudenvielle,141 km (88 mi),Mountain stage,Nans Peters (FRA)
Tour de France,2020,9,6 September,Pau to Laruns,153 km (95 mi),Mountain stage,Tadej Pogačar (SLO)
Tour de France,2020,10,8 September,Île d'Oléron to Île de Ré,168.5 km (104.7 mi),Flat stage,Sam Bennett (IRL)
Tour de France,2020,11,9 September,Châtelaillon-Plage to Poitiers,167 km (104 mi),Flat stage,Caleb Ewan (AUS)
Tour de France,2020,12,10 September,Chauvigny to Sarran,218 km (135 mi),Hilly stage,Marc Hirschi (SUI)
Tour de France,2020,13,11 September,Châtel-Guyon to Puy Mary,191.5 km (119.0 mi),Medium mountain stage,Daniel Martínez (COL)
Tour de France,2020,14,12 September,Clermont-Ferrand to Lyon,194 km (121 mi),Hilly stage,Søren Kragh Andersen (DEN)
Tour de France,2020,15,13 September,Lyon to Grand Colombier,174.5 km (108.4 mi),Mountain stage,Tadej Pogačar (SLO)
Tour de France,2020,16,15 September,La Tour-du-Pin to Villard-de-Lans,164 km (102 mi),Mountain stage,Lennard Kämna (GER)
